Tipus_de_contracte,CPV_def,Duracion_total
2,00000000,0
2,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
1,45233294,365
1,00000000,0
1,75110000,1
1,00000000,0
3,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
2,38000000,30
2,00000000,0
1,72411000,365
2,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
1,80510000,1
2,00000000,0
2,42131146,150
2,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
1,80500000,30
2,33600000,1
2,00000000,0
1,00000000,0
2,22113000,45
2,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
2,31440000,3
1,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
2,33141323,365
2,00000000,0
3,45215140,10
1,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
2,33600000,1
2,00000000,0
1,80510000,1
1,50000000,31
2,00000000,0
1,85312320,1
3,45000000,60
1,00000000,0
2,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
2,00000000,0
1,43328000,360
3,45442100,270
2,33184100,192
1,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
1,92500000,345
2,39162110,333
1,00000000,0
1,79530000,0
2,30200000,32
1,00000000,0
1,00000000,0
1,79100000,30
1,00000000,0
2,00000000,0
2,00000000,0
2,33600000,1
1,80310000,330
1,00000000,0
1,79634000,59
1,00000000,0
1,00000000,0
2,33696500,6
2,00000000,0
1,00000000,0
2,00000000,0
2,00000000,0
1,00000000,0
2,24100000,8
1,00000000,0
1,00000000,0
1,85144000,90
2,33600000,1
1,00000000,0
1,55300000,360
1,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
3,45262300,90
2,33600000,1
2,00000000,0
2,33696500,178
1,92310000,90
2,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
2,33600000,1
2,00000000,0
2,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
2,33690000,1
1,00000000,0
2,00000000,0
2,00000000,0
1,00000000,0
2,00000000,0
2,44316400,1
2,33600000,1
2,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
1,00000000,0
2,00000000,0
1,00000000,0
3,45233200,30
1,98390000,30
1,00000000,0
2,00000000,0
2,00000000,0
1,15800000,31
1,50110000,365
1,00000000,0
2,00000000,0
1,98395000,8
2,00000000,0
1,00000000,0
1,92500000,0
1,43328000,360
1,00000000,0
2,33000000,2
2,00000000,0
2,00000000,0
2,34991000,15
1,80510000,1
2,00000000,0
2,00000000,0
1,00000000,0
3,45111220,51
