CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
03111000-2;Semillas;Suministros
03111100-3;Soja;Suministros
03111200-4;Cacahuetes;Suministros
03111300-5;Semillas de girasol;Suministros
03111400-6;Semillas de algodon;Suministros
03111500-7;Semillas de sesamo;Suministros
03111600-8;Semillas de mostaza;Suministros
03111700-9;Semillas de hortalizas;Suministros
03111800-0;Semillas de frutos;Suministros
03111900-1;Semillas de flores;Suministros
03112000-9;Tabaco sin elaborar;Suministros
03113000-6;Plantas utilizadas para la fabricacion de azucar;Suministros
03113100-7;Remolacha azucarera;Suministros
03113200-8;Ca?a de azucar;Suministros
03114000-3;Paja y plantas forrajeras;Suministros
03114100-4;Paja;Suministros
03114200-5;Plantas forrajeras;Suministros
03115000-0;Materias vegetales en bruto;Suministros
03115100-1;Materias vegetales en bruto utilizadas en la fabricacion de textiles;Suministros
03115110-4;Algodon;Suministros
03115120-7;Yute;Suministros
03115130-0;Lino;Suministros
03116000-7;Caucho y latex naturales y productos afines;Suministros
03116100-8;Caucho natural;Suministros
03116200-9;Latex natural;Suministros
03116300-0;Productos de latex;Suministros
03117000-4;Plantas utilizadas para usos especificos;Suministros
03117100-5;Plantas utilizadas en perfumeria o farmacia, o en la elaboracion de insecticidas o con fines analogos;Suministros
03117110-8;Plantas utilizadas en perfumeria;Suministros
03117120-1;Plantas utilizadas en farmacia;Suministros
03117130-4;Plantas utilizadas en la elaboracion de insecticidas;Suministros
03117140-7;Plantas utilizadas en la elaboracion de pesticidas o fungicidas o con fines analogos;Suministros
03117200-6;Semillas de plantas utilizadas para usos especificos;Suministros
03121000-5;Productos de horticultura;Suministros
03121100-6;Plantas vivas, bulbos, raices y esquejes;Suministros
03121200-7;Flores cortadas;Suministros
03121210-0;Arreglos florales;Suministros
03131000-8;Cultivos de plantas para bebidas;Suministros
03131100-9;Cafe en grano;Suministros
03131200-0;Plantas de te;Suministros
03131300-1;Mate;Suministros
03131400-2;Cacao en grano;Suministros
03132000-5;Especias no manufacturadas;Suministros
03141000-1;Semen de toro;Suministros
03142000-8;Productos de origen animal;Suministros
03142100-9;Miel natural;Suministros
03142200-0;Caracoles;Suministros
03142300-1;Productos comestibles de origen animal;Suministros
03142400-2;Ceras;Suministros
03142500-3;Huevos;Suministros
03143000-5;Productos de cultivo mixto;Suministros
03144000-2;Productos para la agricultura;Suministros
03211000-3;Cereales;Suministros
03211100-4;Trigo;Suministros
03211110-7;Trigo duro;Suministros
03211120-0;Trigo blando;Suministros
03211200-5;Maiz;Suministros
03211300-6;Arroz;Suministros
03211400-7;Cebada;Suministros
03211500-8;Centeno;Suministros
03211600-9;Avena;Suministros
03211700-0;Malta;Suministros
03211900-2;Productos de granos;Suministros
03212000-0;Patatas y legumbres secas;Suministros
03212100-1;Patatas;Suministros
03212200-2;Legumbres y hortalizas leguminosas secas;Suministros
03212210-5;Leguminosas secas;Suministros
03212211-2;Lentejas;Suministros
03212212-9;Garbanzos;Suministros
03212213-6;Guisantes secos;Suministros
03212220-8;Legumbres;Suministros
03221000-6;Hortalizas;Suministros
03221100-7;Hortalizas de raiz y tuberculo;Suministros
03221110-0;Hortalizas de raiz;Suministros
03221111-7;Remolachas;Suministros
03221112-4;Zanahorias;Suministros
03221113-1;Cebollas;Suministros
03221114-8;Nabos;Suministros
03221120-3;Hortalizas de tuberculo;Suministros
03221200-8;Frutos horticolas;Suministros
03221210-1;Judias;Suministros
03221211-8;Habas;Suministros
03221212-5;Judias verdes;Suministros
03221213-2;Judias pintas;Suministros
03221220-4;Guisantes;Suministros
03221221-1;Guisantes de huerta;Suministros
03221222-8;Guisantes mollares;Suministros
03221230-7;Pimientos;Suministros
03221240-0;Tomates;Suministros
03221250-3;Calabacines;Suministros
03221260-6;Champi?ones;Suministros
03221270-9;Pepinos;Suministros
03221300-9;Hortalizas de hoja;Suministros
03221310-2;Lechuga;Suministros
03221320-5;Hojas para ensalada;Suministros
03221330-8;Alcachofas;Suministros
03221340-1;Espinacas;Suministros
03221400-0;Coles;Suministros
03221410-3;Repollos;Suministros
03221420-6;Coliflores;Suministros
03221430-9;Brecoles;Suministros
03221440-2;Coles de Bruselas;Suministros
03222000-3;Frutas y frutos de cascara;Suministros
