CPV_def;CPV_Descripcion;Tipo_de_contrato
00000000;Desconodido;Desconocido
03000000;Productos de la agricultura, ganadería, pesca, silvicultura y productos afines;Suministros
03100000;Productos de la agricultura y horticultura;Suministros
03110000;Cultivos, productos comerciales de jardinería y horticultura;Suministros
03111000;Semillas;Suministros
03111100;Soja;Suministros
03111200;Cacahuetes;Suministros
03111300;Semillas de girasol;Suministros
03111400;Semillas de algodón;Suministros
03111500;Semillas de sésamo;Suministros
03111600;Semillas de mostaza;Suministros
03111700;Semillas de hortalizas;Suministros
03111800;Semillas de frutos;Suministros
03111900;Semillas de flores;Suministros
03112000;Tabaco sin elaborar;Suministros
03113000;Plantas utilizadas para la fabricación de azúcar;Suministros
03113100;Remolacha azucarera;Suministros
03113200;Caña de azúcar;Suministros
03114000;Paja y plantas forrajeras;Suministros
03114100;Paja;Suministros
03114200;Plantas forrajeras;Suministros
03115000;Materias vegetales en bruto;Suministros
03115100;Materias vegetales en bruto utilizadas en la fabricación de textiles;Suministros
03115110;Algodón;Suministros
03115120;Yute;Suministros
03115130;Lino;Suministros
03116000;Caucho y látex naturales y productos afines;Suministros
03116100;Caucho natural;Suministros
03116200;Látex natural;Suministros
03116300;Productos de látex;Suministros
03117000;Plantas utilizadas para usos específicos;Suministros
03117100;Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos;Suministros
03117110;Plantas utilizadas en perfumería;Suministros
03117120;Plantas utilizadas en farmacia;Suministros
03117130;Plantas utilizadas en la elaboración de insecticidas;Suministros
03117140;Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos;Suministros
03117200;Semillas de plantas utilizadas para usos específicos;Suministros
03120000;Productos de horticultura y viveros;Suministros
03121000;Productos de horticultura;Suministros
03121100;Plantas vivas, bulbos, raíces y esquejes;Suministros
03121200;Flores cortadas;Suministros
03121210;Arreglos florales;Suministros
03130000;Cultivos de especias y de plantas para bebidas;Suministros
03131000;Cultivos de plantas para bebidas;Suministros
03131100;Café en grano;Suministros
03131200;Plantas de té;Suministros
03131300;Mate;Suministros
03131400;Cacao en grano;Suministros
03132000;Especias no manufacturadas;Suministros
03140000;Productos de origen animal y productos afines;Suministros
03141000;Semen de toro;Suministros
03142000;Productos de origen animal;Suministros
03142100;Miel natural;Suministros
03142200;Caracoles;Suministros
03142300;Productos comestibles de origen animal;Suministros
03142400;Ceras;Suministros
03142500;Huevos;Suministros
03143000;Productos de cultivo mixto;Suministros
03144000;Productos para la agricultura;Suministros
03200000;Cereales, patatas, hortalizas, frutas y frutos de cáscara;Suministros
03210000;Cereales y patatas;Suministros
03211000;Cereales;Suministros
03211100;Trigo;Suministros
03211110;Trigo duro;Suministros
03211120;Trigo blando;Suministros
03211200;Maíz;Suministros
03211300;Arroz;Suministros
03211400;Cebada;Suministros
03211500;Centeno;Suministros
03211600;Avena;Suministros
03211700;Malta;Suministros
03211900;Productos de granos;Suministros
03212000;Patatas y legumbres secas;Suministros
03212100;Patatas;Suministros
03212200;Legumbres y hortalizas leguminosas secas;Suministros
03212210;Leguminosas secas;Suministros
03212211;Lentejas;Suministros
03212212;Garbanzos;Suministros
03212213;Guisantes secos;Suministros
03212220;Legumbres;Suministros
03220000;Hortalizas, frutas y frutos de cáscara;Suministros
03221000;Hortalizas;Suministros
03221100;Hortalizas de raíz y tubérculo;Suministros
03221110;Hortalizas de raíz;Suministros
03221111;Remolachas;Suministros
03221112;Zanahorias;Suministros
03221113;Cebollas;Suministros
03221114;Nabos;Suministros
03221120;Hortalizas de tubérculo;Suministros
03221200;Frutos hortícolas;Suministros
03221210;Judías;Suministros
03221211;Habas;Suministros
03221212;Judías verdes;Suministros
03221213;Judías pintas;Suministros
03221220;Guisantes;Suministros
03221221;Guisantes de huerta;Suministros
03221222;Guisantes mollares;Suministros
03221230;Pimientos;Suministros
03221240;Tomates;Suministros
03221250;Calabacines;Suministros
03221260;Champiñones;Suministros
03221270;Pepinos;Suministros
03221300;Hortalizas de hoja;Suministros
03221310;Lechuga;Suministros
03221320;Hojas para ensalada;Suministros
03221330;Alcachofas;Suministros
03221340;Espinacas;Suministros
03221400;Coles;Suministros
03221410;Repollos;Suministros
03221420;Coliflores;Suministros
03221430;Brécoles;Suministros
03221440;Coles de Bruselas;Suministros
03222000;Frutas y frutos de cáscara;Suministros
03222100;Frutas y frutos de cáscara tropicales;Suministros
03222110;Frutas tropicales;Suministros
03222111;Plátanos;Suministros
03222112;Piñas;Suministros
03222113;Mangos;Suministros
03222114;Dátiles;Suministros
03222115;Pasas;Suministros
03222116;Higos;Suministros
03222117;Aguacates;Suministros
03222118;Kiwis;Suministros
03222120;Cocos;Suministros
03222200;Cítricos;Suministros
03222210;Limones;Suministros
03222220;Naranjas;Suministros
03222230;Pomelos;Suministros
03222240;Naranjas tangerinas;Suministros
03222250;Limas;Suministros
03222300;Frutas no tropicales;Suministros
03222310;Bayas;Suministros
03222311;Pasas de Corinto;Suministros
03222312;Grosellas silvestres;Suministros
03222313;Fresas;Suministros
03222314;Frambuesas;Suministros
03222315;Arándanos;Suministros
03222320;Manzanas, peras y membrillos;Suministros
03222321;Manzanas;Suministros
03222322;Peras;Suministros
03222323;Membrillos;Suministros
03222330;Frutas de hueso;Suministros
03222331;Albaricoques;Suministros
03222332;Melocotones;Suministros
03222333;Cerezas;Suministros
03222334;Ciruelas;Suministros
03222340;Uvas;Suministros
03222341;Uvas de mesa;Suministros
03222342;Uvas de vino;Suministros
03222400;Aceitunas;Suministros
03300000;Productos de la ganadería, la caza y la pesca;Suministros
03310000;Pescado, crustáceos y productos acuáticos;Suministros
03311000;Pescado;Suministros
03311100;Pescado plano;Suministros
03311110;Lenguado;Suministros
03311120;Solla;Suministros
03311200;Pescados de la familia del bacalao;Suministros
03311210;Bacalao;Suministros
03311220;Abadejo;Suministros
03311230;Merluza;Suministros
03311240;Eglefino;Suministros
03311300;Arenque;Suministros
03311400;Atún;Suministros
03311500;Merlán;Suministros
03311600;Morralla;Suministros
03311700;Salmón;Suministros
03312000;Crustáceos;Suministros
03312100;Ostras;Suministros
03312200;Moluscos;Suministros
03312300;Invertebrados acuáticos;Suministros
03313000;Productos acuáticos;Suministros
03313100;Corales o productos similares;Suministros
03313200;Esponjas naturales;Suministros
03313300;Algas marinas;Suministros
03313310;Algas;Suministros
03320000;Ganado y animales pequeños;Suministros
03321000;Ganado bovino;Suministros
03321100;Bovinos adultos;Suministros
03321200;Terneros;Suministros
03322000;Ganado no bovino;Suministros
03322100;Ovejas;Suministros
03322200;Cabras;Suministros
03322300;Caballos;Suministros
03323000;Cerdos;Suministros
03324000;Aves de corral vivas;Suministros
03325000;Animales pequeños;Suministros
03325100;Conejos;Suministros
03325200;Liebres;Suministros
03330000;Productos de animales de granja;Suministros
03331000;Leche fresca de oveja y de cabra;Suministros
03331100;Leche de oveja;Suministros
03331200;Leche de cabra;Suministros
03332000;Lana y pelo de animales;Suministros
03332100;Lana de esquila;Suministros
03332200;Pelo de animal;Suministros
03333000;Leche fresca de vaca;Suministros
03340000;Marcas auriculares para animales;Suministros
03341000;Marcas auriculares para ganado bovino;Suministros
03400000;Productos de la silvicultura y de la explotación forestal;Suministros
03410000;Madera;Suministros
03411000;Madera de coníferas;Suministros
03412000;Madera de especies tropicales;Suministros
03413000;Madera para calefacción;Suministros
03414000;Madera en bruto;Suministros
03415000;Madera blanda;Suministros
03416000;Residuos de madera;Suministros
03417000;Madera de desecho;Suministros
03417100;Serrín;Suministros
03418000;Troncos;Suministros
03418100;Madera dura;Suministros
03419000;Madera de construcción;Suministros
03419100;Productos de madera;Suministros
03419200;Madera de mina;Suministros
03420000;Gomas;Suministros
03421000;Bálsamos;Suministros
03422000;Laca;Suministros
03430000;Corcho;Suministros
03431000;Corcho natural;Suministros
03432000;Artículos de cestería;Suministros
03432100;Artículos de espartería;Suministros
03440000;Productos de la silvicultura;Suministros
03441000;Plantas, hierbas, musgos o líquenes para uso ornamental;Suministros
03450000;Productos de vivero;Suministros
03451000;Plantas;Suministros
03451100;Plantas para trasplantar;Suministros
03451200;Bulbos florales;Suministros
03451300;Arbustos;Suministros
03452000;Árboles;Suministros
03460000;Pasta de celulosa;Suministros
03461000;Pasta de madera;Suministros
03461100;Pasta química de madera;Suministros
09000000;Derivados del petróleo, combustibles, electricidad y otras fuentes de energía;Suministros
09100000;Combustibles;Suministros
